Exam Flag	Course Code	Course Name	Part	Sem
CBCS	102	(CBCS) B.(VOC) RETAIL MANAGEMENT AND IT	II	IV
CBCS	103	(CBCS) B.(VOC) HEALTH CARE MANAGEMENT	II	IV
CBCS	105	(CBCS) B.(VOC) WEB DESIGNING	II	IV
CBCS	106	(CBCS) B. VOC. (BANKING & FINANCE) : BANKING, FINANCIAL SERVICES & INSURANCE (BFSI) SECTOR	II	IV
CBCS	107	(CBCS) B. VOC. (SOFTWARE DEVELOPMENT) IT/ITES	II	IV
CBCS	501	(CBCS) B.A.(PROG)	II	IV
CBCS	503	(CBCS) B.COM (PROG.)	II	IV
CBCS	504	(CBCS) B.COM (HONS.)	II	IV
CBCS	505	(CBCS) B.A.(HONS.) APPLIED PSYCHOLOGY	II	IV
CBCS	506	(CBCS) B.A.(HONS.) ARABIC	II	IV
CBCS	507	(CBCS) B.A.(HONS.) BENGALI	II	IV
CBCS	508	(CBCS) B.A.(HONS.) BUSINESS ECONOMICS	II	IV
CBCS	510	(CBCS) B.A.(HONS.) ECONOMICS	II	IV
CBCS	511	(CBCS) B.A.(HONS.) ENGLISH	II	IV
CBCS	512	(CBCS) B.A.(HONS.) FRENCH	II	IV
CBCS	513	(CBCS) B.A.(HONS.) GEOGRAPHY	II	IV
CBCS	514	(CBCS) B.A.(HONS.) GERMAN	II	IV
CBCS	516	(CBCS) B.A.(HONS.) HINDI	II	IV
CBCS	518	(CBCS) B.A.(HONS.) HISTORY	II	IV
CBCS	519	(CBCS) B.A.(HONS.) ITALIAN	II	IV
CBCS	520	(CBCS) B.A.(HONS.) JOURNALISM	II	IV
CBCS	522	(CBCS) B.A.(HONS.) MULTI MEDIA AND MASS COMMUNICATION	II	IV
CBCS	523	(CBCS) B.A.(HONS.) HINDUSTANI MUSIC (VOCAL/INSTRUMENTAL)	II	IV
CBCS	524	(CBCS) B.A.(HONS.) PUNJABI	II	IV
CBCS	525	(CBCS) B.A.(HONS.) PERSIAN	II	IV
CBCS	526	(CBCS) B.A.(HONS.) PHILOSOPHY	II	IV
CBCS	527	(CBCS) B.A.(HONS.) POLITICAL SCIENCE	II	IV
CBCS	528	(CBCS) B.A.(HONS.) PSYCHOLOGY	II	IV
CBCS	529	(CBCS) B.A.(HONS.) SANSKRIT	II	IV
CBCS	530	(CBCS) B.A.(HONS.) SOCIOLOGY	II	IV
CBCS	531	(CBCS) B.A.(HONS.) SPANISH	II	IV
CBCS	532	(CBCS) B.A.(HONS.) SOCIAL WORK	II	IV
CBCS	533	(CBCS) B.A.(HONS.) URDU	II	IV
CBCS	535	(CBCS) BACHELOR OF BUSINESS ADMINISTRATION	II	IV
CBCS	544	(CBCS) B.A.(HONS.) KARNATAK MUSIC	II	IV
CBCS	551	(CBCS) B.SC.(HONS.) ANTHROPOLOGY	II	IV
CBCS	553	(CBCS) B.SC.(HONS.) BIOCHEMISTRY	II	IV
CBCS	554	(CBCS) B.SC.(HONS.) BIOMEDICAL SCIENCES	II	IV
CBCS	555	(CBCS) B.SC.(HONS.) BIOLOGICAL SCIENCE	II	IV
CBCS	556	(CBCS) B.SC.(HONS.) BOTANY	II	IV
CBCS	557	(CBCS) B.SC.(HONS.) CHEMISTRY	II	IV
CBCS	558	(CBCS) B.SC.(HONS.) ELECTRONIC SCIENCE	II	IV
CBCS	559	(CBCS) B.SC.(HONS.) FOOD TECHNOLOGY	II	IV
CBCS	560	(CBCS) B.SC.(HONS.) GEOLOGY	II	IV
CBCS	561	(CBCS) B.SC.(HONS.) HOME SCIENCE	II	IV
CBCS	562	(CBCS) B.SC.(HONS.) INSTRUMENTATION	II	IV
CBCS	563	(CBCS) B.SC.(HONS.) MATHEMATICS	II	IV
CBCS	564	(CBCS) B.SC.(HONS.) MICROBIOLOGY	II	IV
CBCS	566	(CBCS) B.SC.(HONS.) POLYMER SCIENCE	II	IV
CBCS	567	(CBCS) B.SC.(HONS.) PHYSICS	II	IV
CBCS	568	(CBCS) B.SC.(HONS.) STATISTICS	II	IV
CBCS	569	(CBCS) B.SC.(HONS.) ZOOLOGY	II	IV
CBCS	570	(CBCS) B.SC.(HONS.) COMPUTER SCIENCE	II	IV
CBCS	571	(CBCS) B.A.(VOC) HUMAN RESOURCE MANAGEMENT	II	IV
CBCS	572	(CBCS) B.A.(VOC) MANAGEMENT AND MARKETING OF INSURANCE	II	IV
CBCS	573	(CBCS) B.A.(VOC) MARKETING MANAGEMENT AND RETAIL BUSINESS	II	IV
CBCS	574	(CBCS) B.A.(VOC) MATERIALS MANAGEMENT	II	IV
CBCS	575	(CBCS) B.A.(VOC) OFFICE MANAGEMENT & SECRETARIAL PRACTICE	II	IV
CBCS	576	(CBCS) B.A.(VOC) SMALL AND MEDIUM ENTERPRISES	II	IV
CBCS	577	(CBCS) B.A.(VOC) TOURISM MANAGEMENT	II	IV
CBCS	582	(CBCS) B.SC. PHYSICAL SCIENCE	II	IV
CBCS	583	(CBCS) B.SC. LIFE SCIENCE	II	IV
CBCS	584	(CBCS) B.SC. INDUSTRIAL CHEMISTRY	II	IV
CBCS	585	(CBCS) B.SC. ANALYTICAL CHEMISTRY	II	IV
CBCS	586	(CBCS) B.SC. APPLIED LIFE SCIENCES WITH AGRO-CHEMICALS AND PEST MANAGEMENT	II	IV
CBCS	587	(CBCS)-B.SC. (MATHEMATICAL SCIENCES)	II	IV
CBCS	588	(CBCS) B.A.(HONS.) HINDI JOURNALISM & MASS COMMUNICATION	II	IV
CBCS	589	(CBCS) B.SC. (PHYSICAL EDUCATION,HEALTH EDUCATION & SPORTS)	II	IV
CBCS	590	(CBCS) BACHELOR OF MANAGEMENT STUDIES	II	IV
CBCS	591	(CBCS) B.SC.(PASS) HOME SCIENCE	II	IV
CBCS	592	(CBCS) B.A.(HONS.) PERCUSSION MUSIC	II	IV
CBCS	595	(CBCS) B.P.ED. TWO YEAR PROGRAMME	II	IV
CBCS	601	(CBCS) FIVE YEAR INTEGRATED PROGRAM IN JOURNALISM	II	IV
CBCS	914	(CBCS) (C.I.C) - B.A. HONOURS (HUMANITIES & SOCIAL SCIENCES)	II	IV
CBCS	102	(CBCS) B.(VOC) RETAIL MANAGEMENT AND IT	III	VI
